"","x"
"586","XRCC2"
"587","GLDN"
"588","IL6"
"589","HIST2H2BF"
"590","KIF20A"
"591","SLC22A3"
"592","SCN9A"
"593","THSD1"
"594","SEMA6A"
"595","TPX2"
"596","EHBP1"
"597","CDH23"
"598","BMP8A"
"599","ADAMTS9-AS1"
"600","KIFC1"
"601","NR5A2"
"602","LINC00377"
"603","KLF11"
"604","DNASE1L3"
"605","PLA2G4A"
"606","KRT8P31"
"607","SAV1"
"608","EGFEM1P"
"609","HOXA3"
"610","BHMT2"
"611","RPS12P5"
"612","CORO2A"
"613","MELK"
"614","STAT5A"
"615","CDH20"
"616","ADGRL4"
"617","UHRF1"
"618","AL356489.2"
"619","ALDH1A1"
"620","PROS1"
"621","RNF150"
"622","DOP1B"
"623","SOX5"
"624","FOXO4"
"625","SNCG"
"626","YBX3"
"627","EMCN"
"628","CACNA2D1"
"629","CXCL12"
"630","TRAIP"
"631","SMIM10"
"632","MCM4"
"633","DST"
"634","SHROOM4"
"635","HIST1H2AI"
"636","NAB1"
"637","DTL"
"638","TPPP3"
"639","B3GALT1"
"640","FGFBP2"
"641","FAM89A"
"642","RRM2"
"643","ANLN"
"644","TICRR"
"645","AURKB"
"646","TRPC6"
"647","CDC42EP2"
"648","PDZD2"
"649","TCP11L2"
"650","CR381670.1"
"651","SNTB2"
"652","ODF3L1"
"653","RMI2"
"654","GHR"
"655","GPBAR1"
"656","FOSB"
"657","FGD4"
"658","LINC00982"
"659","RGS6"
"660","PLP1"
"661","ACKR1"
"662","TFPI"
"663","KIF18B"
"664","C17orf51"
"665","MBNL1-AS1"
"666","NACAD"
"667","LINC01197"
"668","MRGPRF-AS1"
"669","PRX"
"670","AC007743.1"
"671","TUB-AS1"
"672","GNAI1"
"673","DAB2IP"
"674","ACSM5"
"675","CDCA8"
"676","NUF2"
"677","ANGPTL2"
"678","AC091492.1"
"679","STOX2"
"680","CKMT2"
"681","AC010976.2"
"682","TSLP"
"683","POLQ"
"684","SGO1"
"685","PASK"
"686","MAP3K20"
"687","PYGM"
"688","BMPER"
"689","STXBP1"
"690","ST6GALNAC3"
"691","NR3C1"
"692","KNL1"
"693","SIX4"
"694","CCNA2"
"695","WDR86"
"696","ADGRA2"
"697","LEF1"
"698","MMP28"
"699","FAM83D"
"700","WARS2-IT1"
"701","ESPL1"
"702","PFKFB4"
"703","ADRB2"
"704","PARVA"
"705","CHL1"
"706","SASH1"
"707","PTTG1"
"708","CRYBG3"
"709","TMEM47"
"710","ANGPT1"
"711","SMIM10L2A"
"712","TRIP13"
"713","PCDHB15"
"714","TBX18"
"715","OSR1"
"716","HLF"
"717","GNG2"
"718","MYL9"
"719","RELN"
"720","ADAMTS18"
"721","TK2"
"722","KIF22"
"723","PLEKHM3"
"724","CALB2"
"725","TMEM206"
"726","CAMK1"
"727","CENPU"
"728","ZWINT"
"729","DCLK1"
"730","STRBP"
"731","PPP2R1B"
"732","TBCE"
"733","LCN6"
"734","PRR26"
"735","SYNPO"
"736","TNFSF12"
"737","HIST2H2AA4"
"738","CADM3-AS1"
"739","ZNF366"
"740","HJURP"
"741","CCNB2"
"742","NKAPL"
"743","HIST1H1B"
"744","SELENOP"
"745","POC1A"
"746","NEDD9"
"747","FBXO31"
"748","AL161773.1"
"749","NUSAP1"
"750","TXNIP"
"751","SCN11A"
"752","RHPN1"
"753","RUNX1T1"
"754","TEDC2"
"755","PCDH18"
"756","EDA"
"757","ACO1"
"758","SYNM"
"759","CDC25C"
"760","NR3C2"
"761","ACVRL1"
"762","CCND2"
"763","EPB41L2"
"764","DEPDC1"
"765","AQP7P1"
"766","ALDH1L1-AS2"
"767","TCF15"
"768","GPRASP2"
"769","CLEC4G"
"770","SLC7A10"
"771","BRI3BP"
"772","TRHDE"
"773","HPD"
"774","GTF2IRD1"
"775","LINC01140"
"776","RTKN2"
"777","LINC01230"
"778","MLXIPL"
"779","DHRS3"
"780","CADM3"
"781","SMC4"
"782","LHCGR"
"783","CDC20"
"784","FGF14-AS2"
"785","PPARA"
"786","HIST1H2BN"
"787","LMNB1"
"788","LRCH1"
"789","ECT2"
"790","ANXA11"
"791","PRDM11"
"792","NCAPG"
"793","PRICKLE2"
"794","PLXNA3"
"795","SNX33"
"796","THSD7A"
"797","TCF7L2"
"798","PAK3"
"799","LOXL4"
"800","RCBTB2"
"801","PCDH9"
"802","AC009779.3"
"803","NES"
"804","LAMC1"
"805","HMMR"
"806","CENPE"
"807","RSPO3"
"808","TENM1"
"809","GINS1"
"810","NAT8L"
"811","PKDCC"
"812","AL451123.1"
"813","SPATS2"
"814","PRC1"
"815","AC061709.3"
"816","PDE1C"
"817","OIP5"
"818","KLHL31"
"819","HIST1H3B"
"820","NCAPH"
"821","SPC25"
"822","RECQL4"
"823","SEC24AP1"
